All,الكل
You saved the segment.,لقد حفظت التشريح.
We can't save the segment right now.,لا يمكننا حفظ الجزء الآن.
Reports,تقارير
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
The Customer Segment data has been refreshed.,The Customer Segment data has been refreshed.
Union,Union
Intersection,Intersection
Applies to All of the Specified Customer Segments,Applies to All of the Specified Customer Segments
Apply to the Selected Customer Segments,Apply to the Selected Customer Segments
contains,يحتوي على
does not contains,لا يحتوي على
Matched %1 Customers of Segment %2,Matched %1 Customers of Segment %2
Unknown operator specified.,Unknown operator specified.
Product List,قائمة المنتجات
Product History,تاريخ المنتج
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
If Customer Addresses match %1 of these Conditions:,"في حالة تطابق ""عناوين العملاء"" %1 من هذه الشروط:"
Address Attributes,سمات العنوان
Customer Address %1,عنوان العميل %1
Default Address,العنوان الإفتراضي
Billing,الفوترة
Customer Address %1 Default %2 Address,Customer Address %1 Default %2 Address
Has State/Province,يحتوي على محافظة
If Customer Address %1 State/Province specified,If Customer Address %1 State/Province specified
has,has
does not have,ليس به
exists,موجود
does not exist,غير موجود
Customer %1,العميل %1
Newsletter Subscription,الاشتراك بالقائمة البريدية
Customer is %1 to newsletter.,العميل %1 في القائمة البريدية.
subscribed,مشترك
not subscribed,غير مشترك
Customer Store Credit Amount %1 %2:,Customer Store Credit Amount %1 %2:
Date Range,فترة التاريخ
Open Chooser,افتح الاختيارى
Date Range %1 within %2,Date Range %1 within %2
If Order Addresses match %1 of these Conditions:,If Order Addresses match %1 of these Conditions:
Order Address Attributes,Order Address Attributes
Order Address %1,عنوان الطلب %1
Address Type,نوع العنوان
Order Address %1 a %2 Address,Order Address %1 a %2 Address
Order Status,حالة الطلب
Order Status %1 %2:,Order Status %1 %2:
Product %1,Product %1
Date Ranges,Date Ranges
viewed,viewed
was,كان
was not,لم يكن
If Product %1 %2 and matches %3 of these Conditions:,If Product %1 %2 and matches %3 of these Conditions:
Wish List,قائمة الامنيات الخاصة بي
found,وجدت
not found,غير موجود
If Product is %1 in the %2 with %3 of these Conditions match:,If Product is %1 in the %2 with %3 of these Conditions match:
Order Address,عنوان الطلب
Sales Amount,كمية المبيعات
Number of Orders,عدد طلبات الشراء
Purchased Quantity,الكمية التي تم شراؤها
%1 %2 %3 %4 while %5 of these Conditions match:,%1 %2 %3 %4 while %5 of these Conditions match:
If Customer Segment %1 %2,If Customer Segment %1 %2
matches,يتطابق
does not match,لا يتطابق
is one of,واحد من
is not one of,ليس من
Shopping Cart Total,اجمالي سلة التسوق
Grand Total,المجموع الاجمالى
Gift Card,بطاقة هدية
Shopping Cart %1 Amount %2 %3:,سلة التسوق %1 مبلغ %2 %3:
Unknown quote total specified.,Unknown quote total specified.
Number of Cart Line Items,Number of Cart Line Items
Number of Shopping Cart Line Items %1 %2:,Number of Shopping Cart Line Items %1 %2:
Products Quantity,كمية المنتجات
Shopping Cart Products Qty %1 %2:,كمية المنتجات سلة التسوق %1 %2:
equals or greater than,يساوي أو اكبر من
equals or less than,يساوي أو أقل من
greater than,اكبر من
less than,أقل من
Up To Date,محدث
Period %1 %2 Days Up To Date,Period %1 %2 Days Up To Date
Use in Customer Segment,الاستخدام في شرائح العملاء
Enable Customer Segment Functionality,تمكين وظيفة شرائح العملاء
Refresh Data,تحديث البيانات
Manage Segments,إدارة شرائح العملاء
View Combined Report,عرض التقارير المجمعة
We're unable to delete the segement.,نحن غير قادر على حذف الجزء.
Custom Condition,Custom Condition
The quote total specified is unknown. Verify the total and try again.,The quote total specified is unknown. Verify the total and try again.
AVS result code,رمز نتيجة AVS
CVN result code,"CVN result code,module,Magento_Cybersource
"
Card number,رقم البطاقة
Card expiry date,تاريخ انتهاء البطاقة
Decision,قرار
Risk Score,درجة المخاطره
Risk Factor,عامل خطر
Reference number,رقم المرجع
Excessive address change. The customer changed the billing address two or more times in the last six months,Excessive address change. The customer changed the billing address two or more times in the last six months
Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks,Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks
High number of account numbers. The customer used more than six credit cards numbers in the last six months,High number of account numbers. The customer used more than six credit cards numbers in the last six months
"Email address impact. The customer uses a free email provider, or the email address is risky","Email address impact. The customer uses a free email provider, or the email address is risky"
Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code,Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious"
Excessive name changes. The customer changed the name two or more times in the last six months,Excessive name changes. The customer changed the name two or more times in the last six months
Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address,Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address
Nonsensical input. The customer name and address fields contain meaningless words or language,الإدخال لا معنى لها. حقول الاسم وعنوان العميل تحتوي على كلمات لا معنى لها أو اللغة
Obscenities. The customer’s input contains obscene words,Obscenities. The customer’s input contains obscene words
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number"
Phone inconsistencies. The customer’s phone number is suspicious,Phone inconsistencies. The customer’s phone number is suspicious
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Risky order. The transaction, customer, and merchant information show multiple high-risk correlations"
Time hedge. The customer is attempting a purchase outside of the expected hours,Time hedge. The customer is attempting a purchase outside of the expected hours
Unverifiable address. The billing or shipping address cannot be verified,Unverifiable address. The billing or shipping address cannot be verified
Velocity. The account number was use  many times in the past 15 minutes,Velocity. The account number was use  many times in the past 15 minutes
Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect,Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order"
Unknown factor. Please contact Cybersource customer service,Unknown factor. Please contact Cybersource customer service
Payment Token Build Error.,Payment Token Build Error.
Your payment has been declined. Please try again.,Your payment has been declined. Please try again.
CC type field should be provided,CC type field should be provided
Gateway validation error,Gateway validation error
Risk Factor Q,Risk Factor Q
Risk Factor V,Risk Factor V
Cybersource,Cybersource
Profile ID,معرف الحساب
Access Key,مفتاح الوصول
Secret Key,المفتاح السري
Webhook URL,Webhook URL
Webhook URL should be set in your Cybersource account as Transaction Response Page.,Webhook URL should be set in your Cybersource account as Transaction Response Page.
Is admin panel works on the different domain?,Is admin panel works on the different domain?
Admin Profile ID,Admin Profile ID
Admin Access Key,Admin Access Key
Admin Secret Key,Admin Secret Key
Admin Webhook URL,Admin Webhook URL
The credit card type field needs to be provided. Select the field and try again.,The credit card type field needs to be provided. Select the field and try again.
Import failed: %1,Import failed: %1
%1 does not implement %2,%1 does not implement %2
File app/etc/%1 can't be read. Please check if it exists and has read permissions.,File app/etc/%1 can't be read. Please check if it exists and has read permissions.
There are no sensitive configurations to fill,There are no sensitive configurations to fill
Value can't be empty,Value can't be empty
A configuration with this path does not exist or is not sensitive,A configuration with this path does not exist or is not sensitive
"Cannot switch into given mode ""%1""","لا يمكن التبديل إلى وضع معين ""%1"""
Wrong logger interface specified.,Wrong logger interface specified.
Hash has not been saved.,Hash has not been saved.
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.,The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.
Wrong type specified: '%1',Wrong type specified: '%1'
Wrong queue type specified.,Wrong queue type specified.
Compilation from source:,Compilation from source:
Wrong deploy strategy type: %1,Wrong deploy strategy type: %1
The value can't be empty. Enter the value and try again.,The value can't be empty. Enter the value and try again.
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
The hash isn't saved.,The hash isn't saved.
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
Format for IDE '%1' is not supported,لم يتم دعم التنسيق لبيئة تطوير متكاملة '%1'
Client side compilation doesn't work in production mode,Client side compilation doesn't work in production mode
Client side less compilation,جانب العميل أقل تجميعا
Server side less compilation,جانب الملقم أقل تعقيد
Frontend Development Workflow,واجهة تطوير Workflow
Workflow type,نوع Workflow
Not available in production mode,غير متوفر في وضع الإنتاج
Developer Client Restrictions,المطور العملاء القيود
Allowed IPs (comma separated),سمحت المءسسه (مفصوله بفواصل)
Leave empty for access from any location.,اترك فارغاً للوصول من أي مكان.
Log to File,Log to File
Not available in production mode.,Not available in production mode.
Front-end development workflow,سير العمل في تطوير الواجهة الأمامية
Magento was installed with a table prefix. Please re-install without prefix.,Magento was installed with a table prefix. Please re-install without prefix.
Syslog,Syslog
Log to Syslog,Log to Syslog
Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.,حدد هذا الخيار للسماح لشركة DHL لتحسين رسوم الشحن عن طريق تقسيم النظام إذا كان يتجاوز %1 %2.
Wrong Content Type,نوع محتوى غير صحيح
Pounds,جنيهات
Kilograms,كيلوجرام
Inches,بوصة
Centimeters,سنتيمتر
inch,بوصة
cm,سم
Height,الارتفاع
Depth,العمق
Width,العرض
Regular,عادي
Specific,محددة
Easy shop,Easy shop
Sprintline,Sprintline
Secureline,الخط الآمن
Express easy,Express easy
Europack,Europack
Break bulk express,Break bulk express
Medical express,Medical express
Express worldwide,إكسبريس في جميع أنحاء العالم
Express 9:00,Express 9:00
Express 10:30,Express 10:30
Domestic economy select,Domestic economy select
Economy select,Economy select
Domestic express 9:00,Domestic express 9:00
Domestic express,Domestic express
Others,Others
Globalmail business,Globalmail business
Same day,في اليوم نفسه
Express 12:00,سريع 12:00
Express envelope,مغلف بالشحن السريع
Domestic express 12:00,Domestic express 12:00
Jetline,Jetline
Freight worldwide,الشحن لجميع أنحاء العالم
Jumbo box,صندوق كبير
DHL service is not available at %s date,لا تتوفر خدمة DHL في تاريخ %s
The response is in wrong format.,أن الرد بتنسيق غير صحيح.
We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).,يتوجب علينا تخطي DHL طريقة %1 لأننا لا يمكننا أن نجد سعر الصرف %2 (العملة الأساسية).
Zero shipping charge for '%1',رسوم شحن صفر على '%1'
DHL,DHL
Cannot identify measure unit for %1,لا يمكن تحديد وحدة القياس ل %1
Cannot identify weight unit for %1,لا يمكن تحديد وزن وحدة %1
There is no items in this order,لا يوجد أي منتج في هذا الطلب
Please specify origin country.,Please specify origin country.
Documents,الوثائق
Non Documents,بدون وثائق
"Height, width and length should be equal or greater than %1",الارتفاع والعرض والطول يجب أن تكون مساوية أو أكبر من %1
Wrong Region,المنطقة خاطئة
Unable to retrieve tracking,غير قادر على استرداد التعقب
Response is in the wrong format,الاستجابة بشكل خاطئ
Error #%1 : %2,خطأ #%1: %2
No packages for request,لا يوجد حزم في الطلب
Unable to retrieve shipping label,غير قادر على استرداد تسمية الشحن
Security validation of XML document has been failed.,Security validation of XML document has been failed.
The response is in the wrong format,The response is in the wrong format
Enabled for Checkout,Enabled for Checkout
Access ID,معرف النفاذ
Account Number,رقم الحساب
Content Type,Content Type
Calculate Handling Fee,حساب رسوم التوصيل
Handling Applied,تم تطبيق المعاملة
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package."
Handling Fee,رسوم التوصيل
Divide Order Weight,Divide Order Weight
Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.,حدد هذا الخيار للسماح لشركة DHL لتحسين رسوم الشحن عن طريق تقسيم الطلب إذا كان تجاوز ٧٠ كليو جرام.
Weight Unit,وحدة الوزن
Size,الحجم
Allowed Methods,شركات الشحن المسموح بها
Displayed Error Message,رسالة الخطأ المعروضة
Free Method,Free Method
Enable Free Shipping Threshold,Enable Free Shipping Threshold
Free Shipping Amount Threshold,Free Shipping Amount Threshold
Ship to Applicable Countries,Ship to Applicable Countries
Ship to Specific Countries,Ship to Specific Countries
Show Method if Not Applicable,Show Method if Not Applicable
Break bulk economy,Break bulk economy
Customer services,خدمات الزبائن
"Please, specify origin country",الرجاء تحديد بلد المنشأ
Ready time,Ready time
Package ready time after order submission (in hours),Package ready time after order submission (in hours)
The security validation of the XML document has failed.,The security validation of the XML document has failed.
Content Type (Non Domestic),Content Type (Non Domestic)
Documents Allowed Methods,Documents Allowed Methods
Non Documents Allowed Methods,Non Documents Allowed Methods
lbs,رطل
kgs,كجم
Requested country is not available.,البلد المطلوب غير متوفر.
"Undefined rate from ""%1-%2"".","معدل غير معرف من ""%1-%2""."
Please correct the target currency.,الرجاء تصحيح العملة المستهدفة.
We can't retrieve a rate from %1 for %2.,لا يمكننا استرداد نسبة من %1 إلي %2.
We can't retrieve a rate from %1.,لا يمكننا استرداد نسبة من %1.
FATAL ERROR:,خطأ حيوي:
Please specify the correct Import Service.,"الرجاء تحديد ""خدمة الاستيراد"" الصحيحة."
WARNING:,تحذير:
Please correct the country code: %1.,الرجاء تصحيح رمز البلد: %1.
Country and Format Type combination should be unique,البلد نوع وشكل الجمع بين ينبغي ان تكون فريدة من نوعها
Please correct the rates received,الرجاء تصحيح المعدلات المستلمة
Your current currency is: %1.,العملة الحالية الخاصة بك: %1.
Continue,استمر
Currency Update Warnings,تحذير تعديل بيانات العملة
Currency Setup,اعدادات العملة
Currency Options,"خيارات العملة"""
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
Default Display Currency,عرض العملة الافتراضية
Allowed Currencies,العملات المسموح بها
Yahoo Finance Exchange,تحويل العملات ياهو
Connection Timeout in Seconds,مهلة الاتصال بالثواني
Fixer.io,Fixer.io
Webservicex,"Webservicex,module,Magento_Directory
"
Scheduled Import Settings,اعدادات الاستيراد المجدول
Error Email Recipient,خطأ فى مستقبل الرسالة
Error Email Sender,خطأ فى ارسال الرسالة
Error Email Template,خطأ فى قالب الرسالة
Service,الخدمة
Installed Currencies,العملات المعدة
Zip/Postal Code is Optional for,الرمز البريدي اختياري لـ
State Options,خيارات الدولة
State is Required for,الدولة مطلوب من أجل
Allow to Choose State if It is Optional for Country,السماح باختيار الدولة إذا كان اختياري للبلد
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
No API Key was specified or an invalid API Key was specified.,No API Key was specified or an invalid API Key was specified.
The account this API request is coming from is inactive.,The account this API request is coming from is inactive.
"The ""%1"" is not allowed as base currency for your subscription plan.","The ""%1"" is not allowed as base currency for your subscription plan."
An invalid base currency has been entered.,An invalid base currency has been entered.
Currency rates can't be retrieved.,Currency rates can't be retrieved.
API Key,API Key
The country isn't available.,The country isn't available.
Currency Converter API,Currency Converter API
Document is not saved due to error.,لم يتم حفظ المستند بسبب خطأ.
More than one node matching the query: %1,"More than one node matching the query: %1,module,Magento_Doc
"
Invalid Document \n%1,مستند غير صالح \n%1
Downloadable Information,معلومات التحميل
Add New Link,إضافة رابط جديد
Upload Files,تحميل الملف
Unlimited,غير محدود
Something went wrong while getting the requested content.,حدث خطأ أثناء الحصول على المحتوى المطلوب.
My Downloadable Products,ملفات التحميل
We can't find the link you requested.,لا يمكن أن نجد الارتباط المطلوب.
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","يرجى تسجيل الدخول لتنزيل المنتج الخاص بك أو الشراء <a href=""%1"">%2</a>."
Please sign in to download your product.,يرجى تسجيل الدخول لتنزيل المنتج الخاص بك.
The link has expired.,انتهت صلاحية الرابط.
The link is not available.,الرابط غير محتاح.
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
Please set resource file and link type.,Please set resource file and link type.
Invalid download link type.,Invalid download link type.
Provided content must be valid base64 encoded data.,Provided content must be valid base64 encoded data.
Provided file name contains forbidden characters.,Provided file name contains forbidden characters.
Link file not provided,Link file not provided
Link price must have numeric positive value.,Link price must have numeric positive value.
Number of downloads must be a positive integer.,عدد مرات التحميل يجب أن يكون عددا صحيحاً موجباً.
Sort order must be a positive integer.,Sort order must be a positive integer.
Link URL must have valid format.,Link URL must have valid format.
Provided file content must be valid base64 encoded data.,Provided file content must be valid base64 encoded data.
Sample URL must have valid format.,Sample URL must have valid format.
Order id cannot be null,Order id cannot be null
Order item id cannot be null,Order item id cannot be null
Provided product must be type 'downloadable'.,Provided product must be type 'downloadable'.
Provided link information is invalid.,معلومات الرابط المتوفر غير صالحة.
Invalid link type.,Invalid link type.
Link title cannot be empty.,Link title cannot be empty.
There is no downloadable link with provided ID.,There is no downloadable link with provided ID.
Provided downloadable link is not related to given product.,الرابط المقدم غير مرتبط بالمنتج المعطى.
Cannot delete link with id %1,Cannot delete link with id %1
Please specify product link(s).,Please specify product link(s).
Sample file not provided,Sample file not provided
Provided sample information is invalid.,المعلومات التجريبية المقدمة غير صحيحة.
Invalid sample type.,Invalid sample type.
Sample title cannot be empty.,Sample title cannot be empty.
There is no downloadable sample with provided ID.,There is no downloadable sample with provided ID.
Provided downloadable sample is not related to given product.,المعلومات التجريبية المقدمة غير مرتبطة بالمنتج المعطى.
Cannot delete sample with id %1,Cannot delete sample with id %1
attachment,attachment
inline,inline
Pending,في إنتظار المُراجعة
To enable the option set the weight to no,To enable the option set the weight to no
Is this downloadable Product?,هل هذا منتج قابل للتحميل؟
Links,Links
Links can be purchased separately,Links can be purchased separately
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.",أبجدية، - و ـ ينصح بها لأسماء الملفات. يتم استبدال الأحرف الغير لائقة بـ '_'.
Add Link,Add Link
Sample,عينة
Shareable,Shareable
Max. Downloads,Max. Downloads
Samples,Samples
sample,sample
Is this a downloadable Product?,Is this a downloadable Product?
Add links to your product files here.,Add links to your product files here.
Attach File or Enter Link,Attach File or Enter Link
Add product preview files here.,Add product preview files here.
U,U
Unselect all,Unselect all
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
Downloadable Products,Downloadable Products
Order #,رقم الطلب
Remaining Downloads,Remaining Downloads
View Order,تفاصيل الطلب
Start Download,Start Download
You have not purchased any downloadable products yet.,أنت لم تشترى اى منتج قابل للتحميل
download,download
Downloadable Product Section,Downloadable Product Section
Downloads,التحميلات
Downloadable Product Options,Downloadable Product Options
Order Item Status to Enable Downloads,Order Item Status to Enable Downloads
Default Maximum Number of Downloads,Default Maximum Number of Downloads
Default Sample Title,Default Sample Title
Default Link Title,Default Link Title
Open Links in New Window,Open Links in New Window
Use Content-Disposition,Use Content-Disposition
Disable Guest Checkout if Cart Contains Downloadable Items,Disable Guest Checkout if Cart Contains Downloadable Items
Guest checkout will only work with shareable.,Guest checkout will only work with shareable.
Product type of the product must be 'downloadable'.,يجب أن يكون نوع المنتج 'قابل للتحميل'.
The product needs to be the downloadable type. Verify the product and try again.,The product needs to be the downloadable type. Verify the product and try again.
The link information is invalid. Verify the link and try again.,The link information is invalid. Verify the link and try again.
The link type is invalid. Verify and try again.,The link type is invalid. Verify and try again.
The link title is empty. Enter the link title and try again.,The link title is empty. Enter the link title and try again.
No downloadable link with the provided ID was found. Verify the ID and try again.,No downloadable link with the provided ID was found. Verify the ID and try again.
The downloadable link isn't related to the product. Verify the link and try again.,The downloadable link isn't related to the product. Verify the link and try again.
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
The sample information is invalid. Verify the information and try again.,The sample information is invalid. Verify the information and try again.
The sample type is invalid. Verify the sample type and try again.,The sample type is invalid. Verify the sample type and try again.
The sample title is empty. Enter the title and try again.,The sample title is empty. Enter the title and try again.
No downloadable sample with the provided ID was found. Verify the ID and try again.,No downloadable sample with the provided ID was found. Verify the ID and try again.
The downloadable sample isn't related to the product. Verify the link and try again.,The downloadable sample isn't related to the product. Verify the link and try again.
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
Default Label,الملصق الافتراضي
Values Required,القيم مطلوبة
Decimal Number,رقم عشري
Integer Number,رقم صحيح
Letters,رسائل
"Letters (a-z, A-Z) or Numbers (0-9)",حروف (أ-ي، من الألف إلى الياء) أو أرقام (0-9)
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
Entity object is undefined,Entity object is undefined
"""%1"" is not a valid image format","""%1"" is not a valid image format"
"""%1"" cannot contain more than %2 lines.","""%1"" cannot contain more than %2 lines."
Attribute group does not belong to provided attribute set,Attribute group does not belong to provided attribute set
Cannot save attributeGroup,Cannot save attributeGroup
Cannot delete attributeGroup with id %1,Cannot delete attributeGroup with id %1
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
Wrong attribute set id provided,Wrong attribute set id provided
Attribute group does not belong to attribute set,Attribute group does not belong to attribute set
Attribute set not found: %1,Attribute set not found: %1
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
System attribute can not be deleted,System attribute can not be deleted
Cannot save attribute,Cannot save attribute
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
Cannot delete attribute.,Cannot delete attribute.
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
There was an error saving attribute set.,There was an error saving attribute set.
Default attribute set can not be deleted,Default attribute set can not be deleted
There was an error deleting attribute set.,There was an error deleting attribute set.
Invalid entity_type specified: %1,Invalid entity_type specified: %1
Entity is not initialized,الكيان لم تتم تهيئة
Unknown parameter,معامل غير معروف
The attribute code '%1' is reserved by system. Please try another attribute code,رمز برمجية السمة '%1' محجوز من قبل النظام. الرجاء محاولة إختيار رمز سمة آخر
Invalid default decimal value,Invalid default decimal value
Invalid default date,Invalid default date
Invalid entity supplied,غير صالح الكيان الموردة
Invalid backend model specified: %1,Invalid backend model specified: %1
"Source model ""%1"" not found for attribute ""%2""","Source model ""%1"" not found for attribute ""%2"""
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
Invalid date,Invalid date
Empty attribute code,Empty attribute code
Attribute %1 doesn't work with options,%1 سمة لا يعمل مع الخيارات
Cannot save attribute %1,Cannot save attribute %1
Attribute %1 doesn't have any option,%1 سمة لا يملك أي خيار
Cannot load options for attribute %1,Cannot load options for attribute %1
Attribute %1 does not contain option with Id %2,Attribute %1 does not contain option with Id %2
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
Attribute set name is empty.,Attribute set name is empty.
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
No options found.,No options found.
Invalid entity supplied: %1,Invalid entity supplied: %1
Attempt to add an invalid object,محاولة لاضافة هدف غير صحيح
Invalid attribute identifier for filter (%1),Invalid attribute identifier for filter (%1)
Invalid attribute requested: %1,Invalid attribute requested: %1
Joint field or attribute expression with this alias is already declared,Joint field or attribute expression with this alias is already declared
"Invalid alias, already exists in joint attributes","Invalid alias, already exists in joint attributes"
Invalid foreign key,مفتاح خارجي غير صحيح
Invalid entity type,نوع كائن غير صحيح
Invalid attribute type,نوع السمة غير صحيحة
A joined field with this alias is already declared.,A joined field with this alias is already declared.
Invalid joint fields,Invalid joint fields
A joint field with this alias (%1) is already declared.,A joint field with this alias (%1) is already declared.
Data integrity: No header row found for attribute,سلامة البيانات : لا يوجد صف الراسيه وجدت لالسمة
Invalid attribute name: %1,Invalid attribute name: %1
Invalid character encountered in increment ID: %1,Invalid character encountered in increment ID: %1
The current module pathname is undefined.,The current module pathname is undefined.
The current module EAV entity is undefined.,The current module EAV entity is undefined.
The form code is not defined.,The form code is not defined.
The entity instance is not defined.,The entity instance is not defined.
Invalid form type.,Invalid form type.
Invalid EAV attribute,Invalid EAV attribute
Attribute with the same code,السمة مع نفس الرمز
The storefront label is not defined.,The storefront label is not defined.
Default option value is not defined,لم يتم تعريف قيمة الخيار الافتراضي
"Attribute group with same code already exist. Please rename ""%1"" group","Attribute group with same code already exist. Please rename ""%1"" group"
Form Element with the same attribute,عنصر نموذج مع نفس السمة
Form Fieldset with the same code,مجموعة حقول النموذج بنفس الكود
Form Type with the same code,نوع النموذج مع نفس الكود
"The value of attribute ""%1"" is invalid.","قيمة السمة ""%1"" غير صحيح."
Wrong entity ID,معرف خاطئ
Wrong attribute set ID,تعيين سمة معرف خاطئة
Wrong attribute group ID,تعيين مجموعة معرف خاطئة
An attribute code must not be less than %1 and more than %2 characters.,An attribute code must not be less than %1 and more than %2 characters.
"Attribute with ID: ""%1"" does not exist","Attribute with ID: ""%1"" does not exist"
AttributeSet does not exist.,AttributeSet does not exist.
hello,مرحباً
Some internal exception message.,بعض رسالة الاستثناء الداخلي.
The value of attribute not valid,The value of attribute not valid
EAV types and attributes,EAV types and attributes
Entity types declaration cache,Entity types declaration cache
Entity types declaration cache.,أنواع المدخلات لذاكرة إعلان التخزين المؤقت.
Invalid backend model specified: ' .,Invalid backend model specified: ' .
The attribute group doesn't belong to the provided attribute set.,The attribute group doesn't belong to the provided attribute set.
The attributeGroup can't be saved.,The attributeGroup can't be saved.
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
The attribute set ID is incorrect. Verify the ID and try again.,The attribute set ID is incorrect. Verify the ID and try again.
The attribute group doesn't belong to the attribute set.,The attribute group doesn't belong to the attribute set.
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
The system attribute can't be deleted.,The system attribute can't be deleted.
The attribute can't be saved.,The attribute can't be saved.
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
The attribute can't be deleted.,The attribute can't be deleted.
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
The default attribute set can't be deleted.,The default attribute set can't be deleted.
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
This parameter is unknown. Verify and try again.,This parameter is unknown. Verify and try again.
